Step 54, e:80, x:328, y:320, Plot(328,320)
Step 55, e:31, x:329, y:320, Plot(329,320)
Step 56, e:98, x:330, y:321, Plot(330,321)
Step 57, e:49, x:331, y:321, Plot(331,321)
Step 58, e:0, x:332, y:321, Plot(332,321)
Step 59, e:67, x:333, y:322, Plot(333,322)
Step 60, e:18, x:334, y:322, Plot(334,322)
Step 61, e:85, x:335, y:323, Plot(335,323)
Step 62, e:36, x:336, y:323, Plot(336,323)
Step 63, e:103, x:337, y:324, Plot(337,324)
Step 64, e:54, x:338, y:324, Plot(338,324)
Step 65, e:5, x:339, y:324, Plot(339,324)
Step 66, e:72, x:340, y:325, Plot(340,325)
Step 67, e:23, x:341, y:325, Plot(341,325)
Step 68, e:90, x:342, y:326, Plot(342,326)
Step 69, e:41, x:343, y:326, Plot(343,326)
Step 70, e:108, x:344, y:327, Plot(344,327)
Step 71, e:59, x:345, y:327, Plot(345,327)
Step 72, e:10, x:346, y:327, Plot(346,327)
Step 73, e:77, x:347, y:328, Plot(347,328)
Step 74, e:28, x:348, y:328, Plot(348,328)
Step 75, e:95, x:349, y:329, Plot(349,329)
Step 76, e:46, x:350, y:329, Plot(350,329)
Step 77, e:113, x:351, y:330, Plot(351,330)
Step 78, e:64, x:352, y:330, Plot(352,330)
Step 79, e:15, x:353, y:330, Plot(353,330)
Step 80, e:82, x:354, y:331, Plot(354,331)
Step 81, e:33, x:355, y:331, Plot(355,331)
Step 82, e:100, x:356, y:332, Plot(356,332)
Step 83, e:51, x:357, y:332, Plot(357,332)
Step 84, e:2, x:358, y:332, Plot(358,332)
Step 85, e:69, x:359, y:333, Plot(359,333)
Step 86, e:20, x:360, y:333, Plot(360,333)
Step 87, e:87, x:361, y:334, Plot(361,334)
Step 88, e:38, x:362, y:334, Plot(362,334)
Step 89, e:105, x:363, y:335, Plot(363,335)
Step 90, e:56, x:364, y:335, Plot(364,335)
Step 91, e:7, x:365, y:335, Plot(365,335)
Step 92, e:74, x:366, y:336, Plot(366,336)
Step 93, e:25, x:367, y:336, Plot(367,336)
Step 94, e:92, x:368, y:337, Plot(368,337)
Step 95, e:43, x:369, y:337, Plot(369,337)
Step 96, e:110, x:370, y:338, Plot(370,338)
Step 97, e:61, x:371, y:338, Plot(371,338)
Step 98, e:12, x:372, y:338, Plot(372,338)
Step 99, e:79, x:373, y:339, Plot(373,339)
Step 100, e:30, x:374, y:339, Plot(374,339)
Step 101, e:97, x:375, y:340, Plot(375,340)
Step 102, e:48, x:376, y:340, Plot(376,340)
Step 103, e:115, x:377, y:341, Plot(377,341)
Step 104, e:66, x:378, y:341, Plot(378,341)
Step 105, e:17, x:379, y:341, Plot(379,341)
Step 106, e:84, x:380, y:342, Plot(380,342)
Step 107, e:35, x:381, y:342, Plot(381,342)
Step 108, e:102, x:382, y:343, Plot(382,343)
